onnx_latency,fallback_latency,output_dir,slowest_device,all,input_shape,output_shape,error,device,file_name,file_path,pruning,time_cost,params,IR,MACs,
1.365,2.344,./7eaaa147-e251-4f,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.365, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.344}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_level_s9.onnx,../dnnModels/prune_level_s9.onnx,0,15,2.49829E+14,28725,12555,2326644
1.35,inf,./94ccf073-402b-4b,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.35, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_level_s9.onnx,../dnnModels/prune_level_s9.onnx,1,4.7676699,16152954,4589,12555,377298
1.222,2.268,./e0ff07b3-5765-40,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.222, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.268}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_level_s9.onnx,../dnnModels/prune_level_s9.onnx,0,14,9.74155E+13,28725,12555,2326644
1.355,inf,./c8a065aa-ffaa-4a,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.355, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_l1_s9.onnx,../dnnModels/prune_l1_s9.onnx,1,4.540308714,2964,1379,1863,111618
1.143,2.433,./3d881459-0ade-4f,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.143, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.433}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_l1_s9.onnx,../dnnModels/prune_l1_s9.onnx,0,14.81919,740585327,1379,1863,111618
1.089,inf,./315b0aa8-e494-48,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.089, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_l1_s9.onnx,../dnnModels/prune_l1_s9.onnx,1,4.415999651,52,1379,1863,111618
1.361,2.402,./742c90e5-cff5-41,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.361, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.402}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_l1_s9.onnx,../dnnModels/prune_l1_s9.onnx,0,14.81922,781326294,1379,1863,111618
1.351,inf,./2449c0c2-5652-41,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.351, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_fpgm_s5.onnx,../dnnModels/prune_fpgm_s5.onnx,1,4.6246504,78363037,15841,7857,1283040
1.362,2.325,./bc948d75-458c-40,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.362, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.325}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_fpgm_s5.onnx,../dnnModels/prune_fpgm_s5.onnx,0,14.29,7.85728E+12,15841,7857,1283040
1.227,inf,./059e31b2-e495-45,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.227, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_fpgm_s5.onnx,../dnnModels/prune_fpgm_s5.onnx,1,4.5922381,87789917,15841,7857,1283040
1.36,2.235,./6cef08a1-1314-42,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.36, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.235}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_fpgm_s5.onnx,../dnnModels/prune_fpgm_s5.onnx,0,14.349,85092544556,15841,7857,1283040
1.376,inf,./dd8a5241-4fda-4d,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.376, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_bnn_w2.onnx,../dnnModels/quant_bnn_w2.onnx,1,4.566866636,276245,57281,15633,4639680
1.255,2.313,./18106da1-b3c3-4f,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.255, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.313}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_bnn_w2.onnx,../dnnModels/quant_bnn_w2.onnx,0,14.9851,32694244385,57281,15633,4639680
1.396,inf,./f44c931c-bd14-42,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.396, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_bnn_w2.onnx,../dnnModels/quant_bnn_w2.onnx,1,4.6546669,634766,57281,15633,4639680
1.36,2.281,./1af65562-6591-4e,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.36, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.281}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_bnn_w2.onnx,../dnnModels/quant_bnn_w2.onnx,0,15.101017,475128174,57281,15633,4639680
1.359,inf,./6a8338ed-00fd-4f,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.359, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,pretrained.onnx,../dnnModels/pretrained.onnx,1,4.53683567,91,57281,15633,4639680
1.3,2.203,./a47a1802-12f4-48,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.3, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.203}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,pretrained.onnx,../dnnModels/pretrained.onnx,0,14.85825086,536,57281,15633,4639680
1.358,inf,./d9cee512-d456-47,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.358, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,pretrained.onnx,../dnnModels/pretrained.onnx,1,4.662595749,67,57281,15633,4639680
1.248,2.306,./2279e98b-8b34-4c,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.248, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.306}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,pretrained.onnx,../dnnModels/pretrained.onnx,0,15.41690135,21362,57281,15633,4639680
1.377,inf,./88799470-4d1e-4e,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.377, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_fpgm_s9.onnx,../dnnModels/prune_fpgm_s9.onnx,1,4.5180654,52575684,1379,1863,111618
1.113,2.323,./2442b9de-56ae-40,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.113, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.323}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_fpgm_s9.onnx,../dnnModels/prune_fpgm_s9.onnx,0,14.82,7.84605E+12,1379,1863,111618
1.094,inf,./9aa78321-551f-4f,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.094, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_fpgm_s9.onnx,../dnnModels/prune_fpgm_s9.onnx,1,4.6318323,612213135,1379,1863,111618
1.371,2.406,./0d1fdd12-ed1f-46,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.371, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.406}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_fpgm_s9.onnx,../dnnModels/prune_fpgm_s9.onnx,0,15.1,3.96814E+12,1379,1863,111618
1.421,inf,./27de1f41-b027-40,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.421, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_bnn_w8.onnx,../dnnModels/quant_bnn_w8.onnx,1,4.526056766,51001,57281,15633,4639680
1.361,2.275,./09c64639-9fc7-43,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.361, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.275}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_bnn_w8.onnx,../dnnModels/quant_bnn_w8.onnx,0,15.2215,8432006836,57281,15633,4639680
1.308,inf,./e5c273d5-cc98-48,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.308, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_bnn_w8.onnx,../dnnModels/quant_bnn_w8.onnx,1,4.621752023,696899,57281,15633,4639680
